Partner ID,PQP Feb 25
517602,Javier Peñaloza KA
116112,Franco Lagos KA
360153,Franco Lagos KA
506826,Javier Peñaloza KA
333661,Franco Lagos KA
479488,Franco Lagos KA
171165,Franco Lagos KA
140041,Franco Lagos KA
425093,Macka Ramirez
294555,Sin PQP
470822,Javier Peñaloza KA
222586,Javier Peñaloza KA
478046,Franco Lagos KA
137216,Franco Lagos Tier
397133,Sin PQP
267739,Macka Ramirez
203580,Franco Lagos Tier
87509,Franco Lagos Tier
139914,Javier Peñaloza KA
191553,Franco Lagos KA
318097,Sin PQP
90030,Sin PQP
194143,Franco Lagos Tier
258972,Sin PQP
306511,Sin PQP
237082,Franco Lagos KA
497145,Franco Lagos KA
409791,Franco Lagos Tier
478702,Javier Peñaloza KA
313536,Franco Lagos KA
524319,Franco Lagos Tier
517310,Franco Lagos Tier
411944,Javier Peñaloza KA
516112,Javier Peñaloza KA
532873,Franco Lagos KA
476402,Franco Lagos KA
433857,Franco Lagos KA
531914,Franco Lagos KA
166685,Franco Lagos KA
419184,Sin PQP
415157,Franco Lagos KA
196629,Franco Lagos KA
397667,Javier Peñaloza KA
290535,Franco Lagos KA
328077,Javier Peñaloza KA
62966,Javier Peñaloza KA
254713,Sin PQP
282867,Javier Peñaloza KA
163105,Franco Lagos KA
308068,Franco Lagos KA
55493,Sin PQP
497139,Franco Lagos KA
461556,Sin PQP
233221,Franco Lagos KA
17437,Sin PQP
422502,Javier Peñaloza KA
521682,Franco Lagos Tier
127579,Franco Lagos KA
59723,Javier Peñaloza KA
397666,Javier Peñaloza KA
310166,Sin PQP
63801,Franco Lagos KA
413705,Javier Peñaloza KA
136463,Sin PQP
141208,Javier Peñaloza KA
350596,Sin PQP
138345,Franco Lagos KA
465572,Franco Lagos KA
411941,Javier Peñaloza KA
472098,Sin PQP
267835,Macka Ramirez
202853,Javier Peñaloza KA
118887,Sin PQP
455734,Javier Peñaloza KA
106868,Javier Peñaloza KA
141610,Javier Peñaloza KA
254714,Sin PQP
133625,Javier Peñaloza KA
220084,Javier Peñaloza KA
66486,Javier Peñaloza KA
63523,Franco Lagos KA
478943,Franco Lagos Tier
526573,Javier Peñaloza KA
136222,Javier Peñaloza KA
268227,Macka Ramirez
498718,Sin PQP
190689,Sin PQP
387429,Franco Lagos KA
526852,Franco Lagos Tier
459939,Franco Lagos KA
200003,Franco Lagos KA
427016,Sin PQP
455765,Javier Peñaloza KA
66193,Sin PQP
136442,Javier Peñaloza KA
133741,Javier Peñaloza KA
477146,Franco Lagos Tier
206091,Sin PQP
133742,Javier Peñaloza KA
464734,Franco Lagos KA
437124,Sin PQP
135152,Franco Lagos KA
131964,Sin PQP
433556,Franco Lagos KA
151620,Javier Peñaloza KA
191537,Javier Peñaloza KA
491701,Franco Lagos Tier
491573,Franco Lagos Tier
202522,Franco Lagos KA
141233,Javier Peñaloza KA
463832,Franco Lagos KA
131802,Franco Lagos KA
273158,Sin PQP
358815,Franco Lagos KA
361954,Macka Ramirez
422496,Javier Peñaloza KA
495214,Franco Lagos Tier
354029,Javier Peñaloza KA
458153,Franco Lagos Tier
38755,Franco Lagos KA
397571,Franco Lagos KA
141342,Javier Peñaloza KA
392847,Sin PQP
11508,Javier Peñaloza KA
115020,Sin PQP
135277,Javier Peñaloza KA
205935,Sin PQP
404203,Franco Lagos Tier
160592,Franco Lagos KA
141481,Javier Peñaloza KA
490499,Sin PQP
288990,Franco Lagos KA
106882,Javier Peñaloza KA
119596,Javier Peñaloza KA
119948,Sin PQP
330162,Franco Lagos Tier
227884,Macka Ramirez
254682,Sin PQP
449372,Franco Lagos Tier
270132,Sin PQP
308149,Franco Lagos KA
476399,Franco Lagos KA
491977,Javier Peñaloza KA
127151,Javier Peñaloza KA
264652,Javier Peñaloza KA
133550,Franco Lagos KA
224824,Franco Lagos Tier
375826,Franco Lagos KA
187103,Franco Lagos KA
