Partner_id,Partner_name,Franchise_name,Mall,City_name_partner,Area_name_partner,Pqp_advisor
253768,Suni Sushi,Suni Sushi,Mall Vivo Maipú,Santiago,Maipú,franco lagos tier
399252,Poke & Go Sushi Maipú,Poke & Go,Mall Vivo Maipú,Santiago,Maipú,franco lagos tier
449227,Saboroso - Comida Peruana Maipú,Saboroso,Mall Vivo Maipú,Santiago,Maipú,franco lagos tier
461123,Vittore Helados - Lo Espejo,Vittore LATAM,Mall Vivo Maipú,Santiago,Maipú,nicole bustamante
63524,Burger King® - Rancagua,Burger King,Mall Patio Rancagua,Rancagua,Rancagua,javier peñaloza
112666,Chocolatería Entrelagos Rancagua,Chocolatería Entrelagos,Mall Patio Rancagua,Rancagua,Rancagua,maria cecilia maturana
121521,Starbucks Rancagua Centro,Starbucks,Mall Patio Rancagua,Rancagua,Rancagua,javier peñaloza
122270,Subway Mall Open Rancagua,Subway,Mall Patio Rancagua,Rancagua,Rancagua,nicole bustamante
224443,Zucaro - Waffles & Frozen Bar,,Mall Patio Rancagua,Rancagua,Rancagua,franco lagos tier
243155,Buffalo Waffles - Open Plaza Rancagua,Buffalo Waffles,Mall Patio Rancagua,Rancagua,Rancagua,nicole bustamante
384480,Völka Chokolade - Rancagua,Völka Chokolade,Mall Patio Rancagua,Rancagua,Rancagua,maria cecilia maturana
61258,Dunkin' Módulo Rancagua,Dunkin Donuts,Mall Patio Rancagua,Rancagua,Rancagua,javier peñaloza
65828,McDonald's Rancagua Mall,McDonald's,Mall Patio Rancagua,Rancagua,Rancagua,josefina sarquis
111914,"Pedro, Juan Y Diego Rancagua","Pedro, Juan y Diego",Mall Patio Rancagua,Rancagua,Rancagua,josefina sarquis
112340,Pizza Hut Mall Patio Rancagua,Pizza Hut,Mall Patio Rancagua,Rancagua,Rancagua,javier peñaloza
117055,Dunkin' Módulo Rancagua - Café,Dunkin Donuts,Mall Patio Rancagua,Rancagua,Rancagua,javier peñaloza
195298,Yogen Fruz - Rancagua,Yogen Fruz,Mall Patio Rancagua,Rancagua,Rancagua,null
324388,Subway Open Plaza Rancagua Courier - 69151,,Mall Patio Rancagua,Rancagua,Rancagua,null
62979,Tarragona - Mall Patio Rancagua,Tarragona,Mall Patio Rancagua,Rancagua,Rancagua,nicole bustamante
128638,Tommy Beans Rancagua Mall,Tommy Beans,Mall Patio Rancagua,Rancagua,Rancagua,nicole bustamante
455837,Bufalo Beef Rancagua,Bufalo Beef,Mall Patio Rancagua,Rancagua,Rancagua,franco lagos tier
462481,Beef Burger Rancagua,Beef Burger,Mall Patio Rancagua,Rancagua,Rancagua,franco lagos tier
477640,Pizza Hut Mall Rancagua - Courier,Pizza Hut,Mall Patio Rancagua,Rancagua,Rancagua,null
61409,Perla Oriental Express - Comida China,,Mall Patio Rancagua,Rancagua,Rancagua,franco lagos tier
